date;IndustryAdType;ProgramName;Intentionality
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Family Fraud;-0.022
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;I Love Betty;-0.172
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Freaky Vacations;-0.094
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;The Young and the Reckless;-0.178
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;The Evening Show;0.414
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Tonight Tonight;0.09
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Late Hours;0.125
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Nightly News Stories;-0.003
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Fix and Flip;0.023
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Fix and Flip;0.023
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Daybreak Dish;-0.036
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Daybreak Dish;-0.036
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Portable Homes;-0.068
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Portable Homes;-0.068
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Sister Home Sellers;0.256
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Sister Home Sellers;0.256
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;New Gal;-0.198
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;New Gal;-0.198
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Planet Hypothesis;0.152
05.04.2019;Sport Utility VehiHealthy Fast Food Chainle Sales;Planet Hypothesis;0.152
05.11.2019;Healthy Fast Food Chain;Waltzing with the Famous;0.233
05.11.2019;Healthy Fast Food Chain;Waltzing with the Famous;0.233
05.11.2019;Healthy Fast Food Chain;Orlando Vice;0.086
05.11.2019;Healthy Fast Food Chain;Orlando Vice;0.086
05.11.2019;Healthy Fast Food Chain;Maui Five Ten;0.232
05.11.2019;Healthy Fast Food Chain;Maui Five Ten;0.232
05.11.2019;Healthy Fast Food Chain;Neighborhood Patrol;0.183
05.11.2019;Healthy Fast Food Chain;Family Fraud;-0.022
05.11.2019;Healthy Fast Food Chain;Freaky Vacations;-0.094
05.11.2019;Healthy Fast Food Chain;Tonight Tonight;0.09
05.11.2019;Healthy Fast Food Chain;Nightly News Stories;-0.003
05.11.2019;Healthy Fast Food Chain;Nightly News Stories;-0.003
05.11.2019;Healthy Fast Food Chain;Fix and Flip;0.023
05.11.2019;Healthy Fast Food Chain;Fix and Flip;0.023
